x0,x1,y,x2,x3,x4,x5,x6,x7
A0,A0,149,3.0,0,,1,0,
A0,A1,52,3.0,4,0.16,2,0,325.57142857142856
A1,A1,82,3.0,0,,1,0,
A1,A2,36,30.0,0,,10,311,
A2,A0,110,5.0,1,,4,173,406.0
A3,A0,90,3.0,5,1.38,1,321,430.85714285714283
A1,A0,88,2.0,19,0.62,1,0,404.7142857142857
A0,A0,175,14.0,1,0.03,1,0,270.14285714285717
A1,A1,65,1.0,2,1.15,1,124,426.0
A1,A1,47,2.0,27,2.05,1,272,430.2857142857143
A0,A1,90,1.0,30,,1,0,353.42857142857144
A2,A1,65,1.0,76,1.46,8,25,419.0
A1,A0,200,3.0,6,0.1,1,0,248.57142857142858
A1,A1,70,1.0,14,5.32,4,78,430.85714285714283
A1,A1,67,3.0,33,1.66,2,127,425.42857142857144
A3,A0,309,2.0,10,5.56,1,173,430.85714285714283
A0,A1,150,1.0,1,1.0,1,59,429.85714285714283
A0,A0,400,1.0,0,,1,0,
A0,A0,132,2.0,9,0.16,1,0,301.2857142857143
A1,A0,135,3.0,164,2.45,1,325,405.7142857142857
A0,A1,65,2.0,22,2.06,1,275,430.7142857142857
A1,A0,129,5.0,8,,1,0,425.7142857142857
A0,A0,250,7.0,6,,1,0,375.14285714285717
A0,A0,200,1.0,38,,1,123,430.42857142857144
A0,A1,145,1.0,43,,1,197,431.14285714285717
A2,A1,47,2.0,14,0.28,1,0,353.14285714285717
A1,A0,160,30.0,13,,2,252,144.85714285714286
A1,A1,80,3.0,2,0.09,1,0,349.42857142857144
A0,A1,130,1.0,7,0.99,1,0,408.85714285714283
A1,A1,70,2.0,6,0.14,1,0,289.85714285714283
A0,A1,100,1.0,7,2.33,9,324,431.57142857142856
A1,A1,70,2.0,67,1.45,2,353,430.7142857142857
A0,A1,55,7.0,4,0.09,1,0,278.85714285714283
A0,A1,57,1.0,39,2.71,1,176,431.0
A0,A1,84,2.0,38,0.68,2,147,428.7142857142857
A1,A1,75,1.0,69,4.43,2,49,430.85714285714283
A1,A1,39,30.0,1,0.77,3,38,426.57142857142856
A4,A1,129,1.0,40,0.85,2,86,393.85714285714283
A0,A0,210,6.0,7,0.14,1,0,334.7142857142857
A0,A0,275,3.0,1,0.03,1,0,275.42857142857144
A3,A0,109,2.0,9,3.42,3,50,431.14285714285717
A0,A0,175,1.0,1,0.02,1,0,248.85714285714286
A0,A0,225,5.0,13,0.24,1,0,391.57142857142856
A0,A0,150,1.0,1,0.02,1,0,248.0
A0,,200,1.0,16,0.83,2,365,425.2857142857143
A0,A1,115,1.0,82,7.34,12,230,429.57142857142856
A0,A0,120,30.0,3,0.22,2,27,413.85714285714283
A1,A1,60,6.0,0,,2,67,
A0,A0,99,1.0,50,0.87,1,333,431.7142857142857
A0,A0,153,4.0,91,,3,4,405.0
A0,A1,65,1.0,157,,4,137,427.7142857142857
A0,A1,79,1.0,0,,1,0,
A1,A1,109,2.0,115,2.87,5,352,430.85714285714283
A1,A1,99,1.0,100,2.11,1,1,338.0
A0,A1,80,5.0,3,0.15,2,50,429.42857142857144
A2,A1,55,1.0,115,1.82,5,30,429.85714285714283
A1,A0,220,2.0,55,0.91,1,306,405.14285714285717
A1,A1,99,1.0,4,0.08,3,189,236.28571428571428
A3,A1,65,3.0,2,0.27,1,89,401.85714285714283
A0,A0,225,3.0,11,0.23,1,0,268.0
A0,A0,314,30.0,0,,232,341,
A2,A1,60,1.0,72,1.82,4,0,428.7142857142857
A0,A1,60,2.0,8,,1,80,431.85714285714283
A0,A0,143,2.0,32,,1,0,421.0
A1,A0,107,2.0,5,0.18,1,0,322.14285714285717
A1,A1,90,2.0,24,0.3,1,30,431.2857142857143
A0,A0,370,4.0,0,,1,0,
A1,A1,45,2.0,21,1.35,2,339,429.7142857142857
A1,A1,125,30.0,0,,1,340,
A1,A0,225,1.0,0,,1,0,
A1,A1,35,2.0,44,1.41,4,325,414.85714285714283
A0,A0,65,3.0,0,,1,0,
A2,A0,180,2.0,0,,2,281,
A0,A2,60,1.0,20,,9,348,430.57142857142856
A1,A0,99,2.0,96,,2,357,429.85714285714283
A1,A0,249,2.0,6,0.98,1,0,430.0
A1,A1,60,1.0,85,6.01,4,0,405.14285714285717
,A1,135,3.0,214,2.45,2,167,426.85714285714283
A0,A1,123,3.0,176,3.39,3,253,429.57142857142856
A1,A0,160,100.0,0,,1,0,
A1,A1,50,4.0,0,,2,0,
A0,A0,299,2.0,35,3.75,1,277,428.85714285714283
A0,A0,700,4.0,19,,1,134,428.85714285714283
A0,A0,210,2.0,6,1.58,1,9,431.85714285714283
A0,A0,150,30.0,5,,39,228,365.2857142857143
A1,A0,189,3.0,26,0.61,13,69,430.0
A0,A1,150,3.0,50,0.85,1,365,405.14285714285717
A1,,75,2.0,17,2.17,1,77,430.85714285714283
A4,A1,55,3.0,3,1.11,3,61,430.85714285714283
A0,A1,90,3.0,5,0.77,1,1,422.57142857142856
A0,,308,2.0,9,0.15,1,0,400.85714285714283
A0,A1,46,14.0,12,0.82,4,0,400.7142857142857
A0,A0,161,3.0,3,0.16,1,0,363.85714285714283
A1,A0,290,6.0,1,0.04,2,95,318.57142857142856
A1,A0,200,2.0,80,,3,286,428.7142857142857
A0,A0,247,2.0,4,,327,232,429.85714285714283
A0,A1,85,2.0,0,,1,12,
A1,A1,110,4.0,2,0.06,1,0,336.0
A0,A1,100,1.0,0,,1,0,
A0,A0,118,10.0,1,0.03,1,0,278.7142857142857
A0,A1,200,3.0,0,,1,0,
A1,A0,225,3.0,38,0.96,1,135,430.85714285714283
A0,A0,300,2.0,1,1.0,1,179,429.85714285714283
A1,A1,175,2.0,6,2.14,3,61,431.0
A2,A0,159,1.0,0,,4,166,
A1,A0,88,1.0,39,,1,362,431.2857142857143
A1,A0,185,2.0,0,,1,0,
A2,A1,55,1.0,54,2.54,9,265,429.7142857142857
A0,A0,275,30.0,0,,6,301,
A2,A1,45,5.0,15,0.44,6,238,405.0
A1,A0,110,4.0,0,,1,0,
A1,A0,129,2.0,8,0.57,1,0,428.57142857142856
A1,A1,75,2.0,1,0.04,1,0,320.85714285714283
A1,A1,48,1.0,2,0.91,7,169,426.0
A1,A0,162,30.0,26,0.64,3,18,422.14285714285717
A0,A1,49,5.0,14,,6,12,428.2857142857143
A1,A1,64,2.0,2,0.06,1,0,278.0
A2,A1,65,2.0,4,0.28,1,364,392.85714285714283
A0,A0,169,2.0,61,0.8,1,59,429.85714285714283
A0,A1,85,1.0,113,5.5,5,292,429.7142857142857
A0,A0,90,12.0,1,0.03,1,0,281.14285714285717
A1,A0,800,3.0,1,0.05,1,0,352.7142857142857
A2,A0,155,1.0,101,4.12,1,308,431.2857142857143
A1,A0,77,2.0,51,3.1,1,5,431.85714285714283
A0,A1,83,2.0,13,0.61,1,0,382.57142857142856
A0,A0,265,3.0,26,,1,341,428.7142857142857
A1,A0,275,6.0,8,0.23,1,9,421.85714285714283
A1,A0,120,5.0,18,0.32,1,188,413.14285714285717
A1,A0,140,1.0,141,,1,307,431.0
A1,A1,40,2.0,14,2.28,1,54,430.14285714285717
A0,A0,585,2.0,1,,1,97,430.85714285714283
A1,A1,50,4.0,11,0.48,1,0,390.85714285714283
A0,,75,4.0,5,2.31,1,80,431.42857142857144
A1,A0,175,3.0,2,2.0,1,329,431.0
A0,A0,87,30.0,2,0.06,52,365,374.2857142857143
,A1,111,3.0,104,1.65,1,317,429.85714285714283
A0,A0,175,3.0,50,0.63,1,1,430.85714285714283
A1,A1,82,2.0,24,2.14,5,365,425.42857142857144
A0,A1,45,30.0,2,,8,261,405.0
,A0,70,2.0,11,2.29,1,3,426.14285714285717
A0,A0,100,2.0,9,0.59,1,0,418.85714285714283
A0,A0,5250,1.0,0,,1,0,
A1,A1,78,1.0,32,3.19,1,30,429.0
A0,A0,125,30.0,9,0.25,91,127,405.7142857142857
A0,A0,350,6.0,124,3.16,2,247,429.14285714285717
A1,A1,90,3.0,0,,1,0,
A0,A0,199,2.0,8,0.54,1,0,401.0
A0,A0,150,2.0,134,2.95,1,36,430.57142857142856
A1,A0,120,29.0,1,0.77,7,0,426.57142857142856
A0,A0,214,3.0,20,3.3,1,279,429.85714285714283
A0,A0,160,30.0,8,0.71,1,156,425.7142857142857
A0,A0,165,1.0,8,2.58,1,53,429.85714285714283
A0,A1,100,1.0,66,,3,334,429.7142857142857
A0,A0,49,4.0,137,3.88,2,279,430.7142857142857
A1,A0,113,4.0,38,,1,191,431.85714285714283
A0,A0,300,2.0,3,0.08,1,0,291.0
A0,A1,109,3.0,14,1.14,1,0,428.14285714285717
A1,A1,70,3.0,30,0.6,1,364,397.2857142857143
A2,A0,100,14.0,0,,1,37,
A0,A1,49,3.0,0,,1,0,
A0,A1,65,3.0,15,,1,31,431.7142857142857
A1,A1,90,1.0,30,1.16,3,244,427.14285714285717
A1,A1,50,2.0,1,0.09,1,0,387.0
A1,A1,50,1.0,0,,1,166,
A0,A0,99,30.0,19,,1,2,381.42857142857144
A1,A0,135,3.0,39,1.12,1,311,385.42857142857144
A1,A0,500,3.0,1,1.0,1,357,428.85714285714283
A1,A1,45,1.0,14,3.23,1,189,428.42857142857144
A0,A0,105,4.0,18,0.52,1,0,368.85714285714283
A0,A1,160,2.0,17,1.48,1,0,430.85714285714283
A0,A0,500,1.0,5,,1,62,429.14285714285717
A0,A0,239,30.0,0,,121,351,
A0,A1,100,1.0,51,,3,92,429.85714285714283
A1,A0,210,3.0,31,,1,0,424.0
A3,A1,55,1.0,14,,2,127,425.85714285714283
A0,A1,75,1.0,1,0.02,1,0,258.85714285714283
A1,A1,53,2.0,5,0.91,2,191,423.14285714285717
A2,A1,60,30.0,0,,103,215,
A1,A1,119,2.0,23,0.34,1,311,396.2857142857143
A0,A0,199,3.0,3,0.1,1,0,321.85714285714283
A0,A0,225,30.0,1,,6,240,385.42857142857144
A0,A0,225,30.0,1,,49,311,429.85714285714283
,A1,250,3.0,0,,3,364,
A1,A1,48,1.0,2,,1,0,339.7142857142857
A1,A1,65,30.0,13,1.65,4,336,424.2857142857143
A1,A1,85,2.0,1,0.02,1,0,214.71428571428572
A1,A0,126,2.0,4,0.16,1,0,382.85714285714283
A0,A0,157,30.0,0,,4,0,
A0,A1,100,3.0,0,,1,0,
A0,A0,75,7.0,12,0.63,1,3,429.85714285714283
A0,A1,89,4.0,59,1.06,2,286,430.85714285714283
A1,A1,70,2.0,0,,1,0,
A2,A1,42,30.0,3,0.86,23,311,431.57142857142856
A1,A1,2000,2.0,0,,2,365,
A1,,40,1.0,8,5.45,2,89,432.0
A0,A0,325,1.0,0,,1,0,
A0,A0,162,29.0,0,,327,341,
A0,A1,50,2.0,0,,2,0,
A1,A0,88,7.0,2,0.04,1,0,234.85714285714286
A1,A1,100,1.0,82,,1,0,422.85714285714283
A1,A1,60,3.0,1,0.06,1,0,363.57142857142856
A0,A0,126,2.0,11,,1,0,294.14285714285717
A1,A0,210,6.0,27,0.47,1,302,422.42857142857144
A0,A0,185,1.0,0,,1,0,
A2,A1,51,2.0,129,4.63,10,355,429.85714285714283
A1,A1,95,2.0,1,0.03,1,9,265.85714285714283
A1,A1,50,1.0,0,,26,365,
A0,A0,375,4.0,35,2.19,1,79,421.57142857142856
